## Please edit system and help pages ONLY in the master wiki!
## For more information, please see MoinMoin:MoinDev/Translation.
##master-page:None
##master-date:None
#acl -All:write Default
#format plain
#language en

# MoinMoin master InterWiki list
# This list is deployed to all MoinMoin users in the file "intermap.txt". Nevertheless
# you can add your own InterWiki entries to your wiki by editing your local InterWikiMap
# if you do not want to modify the file directly.


# MoinMoin additions
MoinMaster http://master.moinmo.in/
MoinCVS http://hg.moinmo.in/moin/2.0?f=-1;file=
MoinSrc http://hg.moinmo.in/moin/2.0?f=-1;file=
MoinDoc http://hg.moinmo.in/moin/2.0/

# for Germany: bookzilla.de instead of amazon == supporting GNU/Linux and 5% for FSF Europe
# ISBN http://bookzilla.de/shop/action/advancedSearch?action=search&isbn=
ISBN http://isbndb.com/search-all.html?kw=
RFC http://www.ietf.org/rfc/rfc
FreshMeat http://freshmeat.net/
Thinki http://www.thinkware.se/cgi-bin/thinki.cgi/
py2exe http://www.py2exe.org/index.cgi/
PythonFaq http://www.python.org/cgi-bin/faqw.py?req=show&file=faq$PAGE.htp
DocBook http://docbook.org/wiki/moin.cgi/
SpackOrg http://www.spack.org/index.cgi/
ESW http://esw.w3.org/topic/
OSPedia http://ospedia.osdir.com/
MsgID http://groups.google.com/groups?as_umsgid=
PyWebMail http://pywebmail.sourceforge.net/docs/
BcWireless http://www.bcwireless.net/moin.cgi/
Debian http://wiki.debian.org/
DebianBug http://bugs.debian.org/
DebianPackage http://packages.debian.org/
CAKE http://www.cakem.net/mywiki/
TrustixWiki http://doc.trustix.org/cgi-bin/trustixdoc.cgi?
WLUG http://www.wlug.org.nz/
OpenOfficeWiki http://www.ooowiki.de/
Parawiki http://parawiki.plm.eecs.uni-kassel.de/
CPAN http://search.cpan.org/perldoc?
NemWiki http://nematologists.org.au/nemwiki
PostWiki http://www.postwiki.net/
GentooLinux http://gentoo-wiki.com/
Ubuntu https://wiki.ubuntu.com/
CoLinux http://wiki.colinux.org/cgi-bin/
LinuxMM http://linux-mm.org/
LinuxNet http://linux-net.osdl.org/index.php/
KernelNewbies http://wiki.kernelnewbies.org/
Spamikaze http://spamikaze.org/
Ulteo http://www.ulteo.com/main/wiki/index.cgi/
CsWikiPedia http://cs.wikipedia.org/wiki/
RuWikiPedia http://ru.wikipedia.org/wiki/
MBWiki http://wiki.musicbrainz.org/
SquidWiki http://wiki.squid-cache.org/
AltLinux http://altlinux.org/
AltLinuxEn http://en.altlinux.org/

## Updated 2004-11-19 from http://www.usemod.com/cgi-bin/mb.pl?InterMapTxt
## Please modify the upper part of this page only

AbbeNormal http://ourpla.net/cgi/pikie?
Acronym http://www.acronymfinder.com/af-query.asp?String=exact&Acronym=
Advogato http://www.advogato.org/
AnnotationWiki http://www.seedwiki.com/page.cfm?wikiid=368&doc=
AtomWiki http://intertwingly.net/wiki/pie/
BitTorrentFAQ http://www.bamber.org/wiki/ow.asp?
BookShelved http://bookshelved.org/cgi-bin/wiki.pl?
BuildingControlsWiki http://wiki.buildingcontrols.de/CoMa.php?CoMa=
C2find http://c2.com/cgi/wiki?FindPage&value=
Cache http://www.google.com/search?q=cache:
CarpeWiki http://carpe.com/wiki/wiki.pl?
CommunityWiki http://www.communitywiki.org/
CraoWiki http://wiki.crao.net/index.php/
CreationMatters http://www.ourpla.net/cgi-bin/wiki.pl?
DebianforumDeWiki http://wiki.debianforum.de/
Dictionary http://www.dict.org/bin/Dict?Database=*&Form=Dict1&Strategy=*&Query=
Disinfopedia http://www.disinfopedia.org/wiki.phtml?title=
DseWiki http://www.wikiservice.at/dse/wiki.cgi?
EmacsWiki http://www.emacswiki.org/
Foldoc http://www.foldoc.org/foldoc/foldoc.cgi?
FoxWiki http://fox.wikis.com/wc.dll?Wiki~
FractalWiki http://www.wikiservice.at/fractal/wikidev.cgi?
Google http://www.google.com/search?q=
GoogleGroups http://groups.google.com/groups?q=
HammondWiki http://www.dairiki.org/HammondWiki/
